OBSID,rmid,lambda,Lx,Z,MEM_MATCH_ID
0401170101,196,26.0292,2.48386e+42,0.28613323,196
0650382401,1238,68.712616,1.78546e+44,0.35498303,1238
0605391501,1378,84.62356,3.97226e+43,0.37327638,1378
0673150401,1380,41.66555,4.19547e+42,0.5134825,1380
0146990201,3184,68.087166,2.9041300000000003e+43,0.47753376,3184
0066950201,3893,42.13845,5.2905200000000004e+42,0.29298607,3893
0302581501,3950,110.297676,4.9269300000000005e+42,0.55963725,3950
0650384901,5151,53.28984000000001,3.62335e+43,0.37266624,5151
0650381701,5668,51.764343,6.726350000000001e+42,0.40198845,5668
0670880501,5985,55.669617,7.709830000000001e+42,0.4228018,5985
0012440101,6172,56.798485,2.7279500000000003e+43,0.40984884,6172
0405200101,7145,29.903963,6.21188e+42,0.401631,7145
0161560141,8473,38.065376,1.49288e+43,0.36808655,8473
0743350501,8823,26.898733,4.6960800000000005e+42,0.34987290000000004,8823
0111270101,9275,20.811998000000006,1.25374e+41,0.24608916,9275
0723800301,9328,33.076996,2.5957300000000002e+42,0.26772812,9328
0203362201,10096,59.31555,2.44004e+43,0.47694117,10096
0747440140,10228,43.892776,1.6197800000000002e+42,0.32634640000000004,10228
0655380101,10245,44.808075,7.43733e+42,0.28312653,10245
0747390134,10431,31.5515,2.9992200000000003e+43,0.3713877,10431
0553911301,10465,26.730928,1.119e+43,0.2975193,10465
0556560101,10732,28.103876,4.70932e+42,0.29111058,10732
0111260701,11150,32.268486,1.9081900000000001e+43,0.4412042000000001,11150
0556210301,11795,43.969048,2.40087e+43,0.41612938,11795
0677600137,12193,33.290565,3.00768e+43,0.34813845,12193
0143650801,12653,20.339094,2.90417e+42,0.17265737,12653
0111260701,12855,22.62734,9.460090000000001e+42,0.4408566,12855
0305750501,13004,52.96948199999999,1.9230400000000001e+43,0.44942766,13004
0206180201,13775,52.92372,2.3468200000000003e+42,0.45197397,13775
0674660201,13932,27.615717,9.715700000000001e+42,0.33685985,13932
0652010401,14402,70.28388000000001,2.2583800000000003e+43,0.5392811,14402
0203170101,14439,25.785120000000006,5.09163e+42,0.342017,14439
0404911201,14485,23.039225,8.637220000000001e+42,0.25809896,14485
0306050201,15414,59.89524,4.6243700000000003e+42,0.49234867,15414
